51,35,14,2,1,156
49,30,14,2,1,157
47,32,13,2,1,158
46,31,15,2,1,159
50,36,14,2,1,160
54,39,17,4,1,161
46,34,14,3,1,162
50,34,15,2,1,163
44,29,14,2,1,164
49,31,15,1,1,165
54,37,15,2,1,166
48,34,16,2,1,167
48,30,14,1,1,168
43,30,11,1,1,169
58,40,12,2,1,170
57,44,15,4,1,171
54,39,13,4,1,172
51,35,14,3,1,173
57,38,17,3,1,174
51,38,15,3,1,175
54,34,17,2,1,176
51,37,15,4,1,177
46,36,10,2,1,178
51,33,17,5,1,179
48,34,19,2,1,180
50,30,16,2,1,181
50,34,16,4,1,182
52,35,15,2,1,183
52,34,14,2,1,184
47,32,16,2,1,185
48,31,16,2,1,186
54,34,15,4,1,187
52,41,15,1,1,188
55,42,14,2,1,189
49,31,15,1,1,190
50,32,12,2,1,191
55,35,13,2,1,192
49,31,15,1,1,193
44,30,13,2,1,194
51,34,15,2,1,195
50,35,13,3,1,196
45,23,13,3,1,197
44,32,13,2,1,198
50,35,16,6,1,199
51,38,19,4,1,200
48,30,14,3,1,201
51,38,16,2,1,202
46,32,14,2,1,203
53,37,15,2,1,204
50,33,14,2,1,205
70,32,47,14,2,206
64,32,45,15,2,207
69,31,49,15,2,208
55,23,40,13,2,209
65,28,46,15,2,210
57,28,45,13,2,211
63,33,47,16,2,212
49,24,33,10,2,213
66,29,46,13,2,214
52,27,39,14,2,215
50,20,35,10,2,216
59,30,42,15,2,217
60,22,40,10,2,218
61,29,47,14,2,219
56,29,36,13,2,220
67,31,44,14,2,221
56,30,45,15,2,222
58,27,41,10,2,223
62,22,45,15,2,224
56,25,39,11,2,225
59,32,48,18,2,226
61,28,40,13,2,227
63,25,49,15,2,228
61,28,47,12,2,229
64,29,43,13,2,230
66,30,44,14,2,231
68,28,48,14,2,232
67,30,50,17,2,233
60,29,45,15,2,234
57,26,35,10,2,235
55,24,38,11,2,236
55,24,37,10,2,237
58,27,39,12,2,238
60,27,51,16,2,239
54,30,45,15,2,240
60,34,45,16,2,241
67,31,47,15,2,242
63,23,44,13,2,243
56,30,41,13,2,244
55,25,40,13,2,245
55,26,44,12,2,246
61,30,46,14,2,247
58,26,40,12,2,248
50,23,33,10,2,249
56,27,42,13,2,250
57,30,42,12,2,251
57,29,42,13,2,252
62,29,43,13,2,253
51,25,30,11,2,254
57,28,41,13,2,255
63,33,60,25,3,256
58,27,51,19,3,257
71,30,59,21,3,258
63,29,56,18,3,259
65,30,58,22,3,260
76,30,66,21,3,261
49,25,45,17,3,262
73,29,63,18,3,263
67,25,58,18,3,264
72,36,61,25,3,265
65,32,51,20,3,266
64,27,53,19,3,267
68,30,55,21,3,268
57,25,50,20,3,269
58,28,51,24,3,270
64,32,53,23,3,271
65,30,55,18,3,272
77,38,67,22,3,273
77,26,69,23,3,274
60,22,50,15,3,275
69,32,57,23,3,276
56,28,49,20,3,277
77,28,67,20,3,278
63,27,49,18,3,279
67,33,57,21,3,280
72,32,60,18,3,281
62,28,48,18,3,282
61,30,49,18,3,283
64,28,56,21,3,284
72,30,58,16,3,285
74,28,61,19,3,286
79,38,64,20,3,287
64,28,56,22,3,288
63,28,51,15,3,289
61,26,56,14,3,290
77,30,61,23,3,291
63,34,56,24,3,292
64,31,55,18,3,293
60,30,48,18,3,294
69,31,54,21,3,295
67,31,56,24,3,296
69,31,51,23,3,297
58,27,51,19,3,298
68,32,59,23,3,299
67,33,57,25,3,300
67,30,52,23,3,301
63,25,50,19,3,302
65,30,52,20,3,303
62,34,54,23,3,304
59,30,51,18,3,305
